Person_ID,Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Daily_Calorie_Requirement,Daily_Calorie_Consumed,Protein_Intake_g,Carbohydrate_Intake_g,Fat_Intake_g,Water_Intake_Liters,Diet_Type,Health_Status
P0001,50.0,Male,176.4,74.8,24.0,Very Active,2852,2625.0,183.0,16.9,202.8,3.3,Keto,Healthy
P0002,18.0,Female,167.6,75.5,26.9,Sedentary,1904,2044.0,90.1,306.5,50.8,1.9,Vegan,Overweight
P0003,68.0,Female,161.9,87.2,33.3,Lightly Active,2009,2540.0,222.7,281.3,58.2,2.4,High Protein,Obese
P0004,22.0,Female,169.3,66.9,23.3,Moderately Active,2318,2096.0,69.5,299.8,68.7,2.9,Balanced,Healthy
P0005,30.0,Male,179.1,75.3,23.5,Sedentary,2144,1937.0,32.9,285.6,73.7,2.2,Balanced,Healthy
P0006,36.0,Male,175.7,73.2,23.7,Athlete,3245,3434.0,268.3,333.0,114.3,4.5,High Protein,Healthy
P0007,29.0,,172.3,93.6,31.5,Lightly Active,2756,3147.0,312.3,267.7,91.9,2.6,High Protein,Obese
P0008,65.0,Female,164.9,80.1,29.5,Moderately Active,2197,2609.0,108.3,412.6,58.4,2.6,Vegan,Overweight
P0009,42.0,Female,159.5,80.7,31.7,Sedentary,1807,2180.0,216.4,194.7,59.5,2.5,High Protein,Obese
P0010,74.0,Female,156.9,67.5,27.4,Lightly Active,1701,2008.0,60.5,271.6,75.5,2.4,Mediterranean,Overweight
P0011,68.0,,171.3,92.9,31.7,Sedentary,2123,2557.0,82.7,338.0,97.1,2.1,Mediterranean,Obese
P0012,52.0,Other,184.7,73.2,21.5,Lightly Active,2536,2551.0,214.5,235.4,83.5,2.5,High Protein,Healthy
P0013,,Female,162.2,56.7,21.6,Moderately Active,2091,2014.0,48.4,287.0,74.7,2.9,Balanced,Healthy
P0014,47.0,Male,177.8,92.7,29.3,Very Active,3306,3797.0,98.6,478.7,165.3,3.4,Mediterranean,Overweight
P0015,22.0,Male,175.2,96.5,31.4,Lightly Active,2883,3400.0,143.5,487.9,97.2,2.6,Balanced,Obese
P0016,51.0,Male,163.2,71.4,26.8,Sedentary,1846,2000.0,100.9,41.5,158.9,2.4,Keto,Overweight
P0017,39.0,Male,177.2,,22.5,Sedentary,1997,1829.0,61.2,266.5,57.5,1.6,Vegetarian,Healthy
P0018,56.0,Female,164.6,67.3,24.8,Moderately Active,2073,1889.0,169.9,172.5,57.7,2.8,High Protein,Healthy
P0019,30.0,Male,179.1,90.2,28.1,Lightly Active,2731,2992.0,272.0,276.1,88.8,2.3,High Protein,Overweight
P0020,74.0,Male,156.4,71.5,29.2,Athlete,2616,,93.6,447.1,96.9,4.5,Balanced,Overweight
P0021,64.0,Female,158.5,69.6,27.7,Moderately Active,2023,2186.0,118.9,54.9,165.7,3.0,Keto,Overweight
P0022,71.0,Male,169.8,76.7,26.6,Very Active,2635,2885.0,137.9,430.4,68.0,3.5,Vegan,Overweight
P0023,20.0,Male,179.8,87.1,26.9,Sedentary,2405,2851.0,259.0,288.1,73.6,2.1,High Protein,Overweight
P0024,77.0,Male,180.2,75.0,23.1,Very Active,2623,2696.0,87.4,361.2,100.2,3.3,Mediterranean,Healthy
P0025,70.0,Male,168.9,90.3,31.7,Sedentary,2054,2731.0,117.6,361.0,90.8,1.6,Vegetarian,Obese
P0026,37.0,Female,169.8,64.4,22.3,Moderately Active,2184,2363.0,187.6,273.0,57.9,2.8,High Protein,Healthy
P0027,48.0,Male,172.3,72.1,24.3,Moderately Active,2493,2275.0,215.2,211.6,63.1,2.8,High Protein,Healthy
